step, arrivals_sum, infringement_sum, reward ,av arr,av inf
195002,81,3886,-112018.724763501,0.000415380355073281,0.019928000738454
195502,83,3886,-91645.6721079452,0.000424548086464589,0.0198770345060409
196002,85,3886,-98255.1499653962,0.000433669044193427,0.0198263283027724
196502,86,3886,-91589.2961343611,0.000437654578579353,0.0197758801437136
197002,87,3886,-96912.1163533063,0.000441619882031655,0.0197256880640806
197502,87,3886,-128440.685758531,0.000440501868335511,0.0196757501189861
198002,89,3887,-178575.591240268,0.000449490409187786,0.0196311148372239
198502,90,3888,-136858.175459806,0.000453395935557324,0.0195867044160764
199002,92,3890,-150215.769421,0.000462306911488327,0.0195475422357564
199502,98,3892,-130681.606784894,0.000491223145632625,0.0195085763551243
200002,100,3898,-243217.090959372,0.00049999500005,0.019489805101949
200502,101,3906,-268064.580928967,0.000503735623584802,0.0194811024328934
201002,103,3909,-152790.136387602,0.000512432712112317,0.0194475676858937
201502,105,3910,-122381.856890664,0.000521086639338567,0.0194042739029886
202002,106,3914,-197944.188658852,0.000524747279729904,0.0193760457817249
202502,109,3914,-123618.093822181,0.000538266288728013,0.0193282041658848
203002,110,3919,-208758.727281233,0.000541866582595245,0.0193052285199161
203502,113,3919,-107029.388563758,0.000555277098013779,0.019257795992177
204002,117,3919,-88022.2699259073,0.000573523788982461,0.0192105959745493
204502,118,3919,-107139.27222718,0.000577011471770447,0.0191636267615965
205002,122,3920,-128527.303277959,0.000595116145208339,0.0191217646657106
205502,124,3920,-114266.712293372,0.000603400453523567,0.0190752401436482
206002,127,3920,-97628.5721765775,0.00061649886894302,0.0190289414665877
206502,129,3920,-95719.5834235735,0.000624691286282942,0.0189828669940243
207002,131,3920,-91414.559042342,0.000632844127109883,0.0189370151013034
207502,131,3923,-189593.855340106,0.000631319216200326,0.0189058418714037
208002,136,3924,-121774.416497361,0.000653839866924357,0.0188652032191998
208502,139,3937,-397471.462873384,0.000666660271843915,0.0188823128794928
209002,141,3937,-91066.0711526982,0.000674634692490981,0.0188371403144468
209502,141,3937,-115956.501198974,0.000673024601197125,0.0187921833681779
210002,144,3941,-178890.388570031,0.000685707755164237,0.0187664879382101
210502,146,3941,-102406.854237406,0.000693580108502532,0.01872191238088
211002,148,3945,-197691.826692777,0.00070141515246301,0.0186965052463958
211502,151,3970,-633536.416709974,0.000713941239326342,0.0187705080803018
212002,155,3978,-260307.078819135,0.000731125178064358,0.0187639739247743
212502,155,3982,-209495.231600106,0.000729404899718591,0.0187386471656737
213002,157,3982,-124704.188401531,0.00073708228091755,0.0186946601440362
213502,159,3982,-110605.925607912,0.000744723702822456,0.0186508791486731
214002,161,3984,-156863.249132041,0.00075232941748208,0.0186166484425379
214502,161,3984,-94231.0028625801,0.000750575752207439,0.0185732533962387
