step, arrivals_sum, infringement_sum, reward 
331002,4505, 2140, -51206.607340335846
331502,4520, 2141, -58751.685095727444
332002,4531, 2142, -56239.82110893726
332502,4555, 2143, -48661.09983032942
333002,4576, 2144, -75720.66891014576
333502,4595, 2146, -66213.37209230661
334002,4610, 2150, -72787.55895751715
334502,4621, 2157, -67005.46918177605
335002,4638, 2159, -64346.98055559397
335502,4662, 2160, -56552.814093112946
336002,4680, 2161, -62474.52411311865
336502,4701, 2161, -53401.40911817551
337002,4727, 2162, -53290.826884806156
337502,4760, 2166, -61001.81630927324
338002,4791, 2169, -62956.16198951006
338502,4821, 2169, -67901.2516554594
339002,4843, 2172, -58244.94418126345
339502,4871, 2173, -46778.82765209675
340002,4901, 2176, -51546.086257874966
340502,4933, 2177, -51679.68447750807
341002,4966, 2177, -53102.95589208603
341502,4996, 2182, -54412.00791221857
342002,5024, 2186, -52548.58447301388
342502,5046, 2188, -56164.522982001305
343002,5080, 2189, -63732.86147618294
343502,5104, 2193, -48547.22491723299
344002,5139, 2194, -50889.879121899605
344502,5167, 2194, -48779.6682792902
345002,5193, 2195, -53392.09335464239
345502,5212, 2197, -60455.64890366793
346002,5225, 2201, -71607.54793465137
346502,5249, 2202, -50664.73809289932
347002,5281, 2205, -57988.43169376254
347502,5302, 2207, -60827.83812242746
348002,5335, 2211, -48119.61298340559
348502,5370, 2213, -67428.11589920521
349002,5395, 2215, -56802.82095807791
349502,5425, 2215, -61940.33717161417
350002,5458, 2216, -46562.47589850426
350502,5479, 2220, -63126.492058336735
351002,5506, 2222, -39396.68898200989
351502,5535, 2224, -51475.21104264259
352002,5570, 2228, -53309.49041604996
352502,5598, 2233, -60851.9645640254
353002,5621, 2237, -59982.60254853964
353502,5646, 2241, -66290.7874777317
354002,5679, 2242, -56014.56881916523
354502,5712, 2243, -50278.42848718166
355002,5747, 2243, -55821.27054685354
355502,5776, 2245, -54254.659334123135
356002,5804, 2247, -44492.34500426054
356502,5843, 2250, -53486.43798416853
357002,5867, 2254, -57680.53777587414
357502,5903, 2256, -39834.046123206615
358002,5931, 2259, -62775.20089763403
358502,5962, 2260, -56186.76512956619
359002,5988, 2263, -62500.50330835581
359502,6016, 2265, -60884.58619439602
360002,6047, 2266, -53255.76490813494
360502,6071, 2268, -57954.53289550543
361002,6104, 2268, -53870.13277250528
361502,6133, 2269, -56559.70309370756
362002,6163, 2271, -47157.66966611147
362502,6195, 2272, -44682.29777300358
363002,6227, 2275, -48817.66474425793
363502,6258, 2277, -46909.27200037241
364002,6294, 2277, -44460.73423910141
364502,6329, 2277, -56031.07086920738
365002,6361, 2279, -47032.706451267004
365502,6388, 2283, -69187.5315362215
